"genre_ids","id","original_language","original_title","overview","popularity","release_date","title","vote_average","vote_count","revenue","budget","imdb_id","tagline","cast","director","imdb_rating","imdb_votes","production_companies","production_countries"
"18, 53, 35",265195,"es","Relatos salvajes","Injustice and the demands of the world can cause stress for many people. Some of them, however, explode. This includes a waitress serving a grouchy loan shark, an altercation between two motorists, an ill-fated wedding reception, and a wealthy businessman who tries to buy his family out of trouble.",3.7,"2014-08-21","Wild Tales",7.87,3442,31478893,4e+06,"tt3011894","We can all lose control","Érica Rivas, María Laura Caccamo, Rita Cortese, María Marull, Miguel Di Lemme, María Rosa López Ottonello, Graciela Fodrini, Miguel Ángel Platinado Grando, Javier Pedersoli, Camila Franco, Ángel Frega, Luis Mazzeo, Marcelo Pozzi, Margarita Molfino, Pablo Machado, Diego Velázquez, María Onetto, Lucrecia Gelardi, Ricardo Truppel, Lucila Mangone, Daniel Merwicer, Walter Donado, Claudio Delan, Pablo Moseinco, Pablo Chao, Julieta Zylberberg, Paula Grinszpan, Horacio Vay, Leonardo Sbaraglia, Federico Liss, Osmar Núñez, Oscar Martínez, Carlos Moyá, Juan Pablo Colombo, Victoria Rolando González, Nancy Dupláa, Ricardo Darín, Mónica Villa, Abián Vainstein, Diego Starosta, César Bordón, Cristina Blanco, Héctor Drachtman, Darío Grandinetti, Diego Gentile, Alan Daicz, Gustavo Bonfigli, Horacio Nin Uria, Germán de Silva, Fiorella Pedrazzini, Carlos Alberto Vavassori, Alfonso Grispino, Andrea Garrote, Liliana Weimer, Martín Gervasoni, Mariano Sigman, Juan Santiago Linari, Alejandro Angelini, Noemí Ron, Camila Sofía Casas, Marcelo Frasca, Ramiro Vayo","Damián Szifron",8.1,226363,"El Deseo, K & S Films, Telefe, INCAA","Argentina, Spain"
"35, 80, 18",11293,"en","Paper Moon","A bible salesman finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership as a money-making con team in Depression-era Kansas.",3.602,"1973-05-09","Paper Moon",7.9,734,30900000,2500000,"tt0070510","As P.T. Barnum put it, ""There's a sucker born every minute.""","P.J. Johnson, Dorothy Forster, Hugh Gillin, Art Ellison, Burton Gilliam, Dorothy Price, Gilbert Milton, Bob Young, Randy Quaid, Jody Wilbur, Tandy Arnold, Liz Ross, Ryan O'Neal, Jessie Lee Fulton, John Hillerman, Noble Willingham, Kenneth Hughes, Eleanor Bogart, Floyd Mahaney, James N. Harrell, Harriet Ketchum, Madeline Kahn, Ed Reed, Rose-Mary Rumbley, Ralph Coder, Dejah Moore, Vernon Schwanke, Yvonne Harrison, Jack Saunders, Lana Daniel, Lila Waters, George Lillie, Desmond Dhooge, Dennis Beden, Tatum O'Neal, Herschel Morris","Peter Bogdanovich",8.1,54585,"The Directors Company, Saticoy Productions, Paramount Pictures","United States of America"
"35",3034,"en","Young Frankenstein","A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",4.129,"1974-12-15","Young Frankenstein",7.869,3169,86273333,2800000,"tt0072431","The scariest comedy of all time!","Danny Goldman, Gene Hackman, Jeff Maxwell, Monte Landis, Richard A. Roth, Rusty Blitz, Ian Abercrombie, Norbert Schiller, Lou Cutell, Clement von Franckenstein, Oscar Beregi Jr., John Dennis, Pat O'Hara, Terrence Pushman, Randolph Dobbs, Michael Fox, Cloris Leachman, Mel Brooks, Arthur Tovey, Teri Garr, Madeline Kahn, Rick Norman, Lidia Kristen, Johnny Marlin, Maida Severn, Leoda Richards, Richard Haydn, Arthur Malet, Max Wagner, John Madison, Kenneth Mars, Peter Boyle, Marty Feldman, Anne Beesley, Liam Dunn, Rolfe Sedan, Berry Kroeger, Lars Hensen, Gene Wilder","Mel Brooks",8,174621,"Crossbow Productions, Gruskoff/Venture Films, Jouer Limited, 20th Century Fox","United States of America"
"10749, 18, 10402",369557,"en","Sing Street","A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.",3.58,"2016-03-11","Sing Street",7.869,2309,13624522,4e+06,"tt3544112","Boy meets girl. Girl unimpressed. Boy starts band.","Paul Gibbons, Ian Kenny, Don Wycherley, Marcella Plunkett, Maria Doyle Kennedy, Paul Roe, Lucy Boynton, Jack Reynor, Des Keogh, Vera Nwabuwe, Keith McErlean, Kyle Bradley Donaldson, Dolores Mullally, Lydia McGuinness, Aidan Gillen, Art Campion, Tony Doyle, Percy Chamburuka, Ben Carolan, Connor Hamilton, Kian Murphy, Karl Rice, Ferdia Walsh-Peelo, Pádraig J. Dunne, Kelly Thornton, Mark McKenna, Eva-Jane Gaffney","John Carney",7.9,104050,"Likely Story, FilmWave, Distressed Films, Cosmo Films, PalmStar Media, Fís Éireann/Screen Ireland, Merkel Media","Ireland, United Kingdom, United States of America"
"18, 80",16,"en","Dancer in the Dark","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles – even if just for a moment – by dreaming up little numbers to the rhythmic beats of her surroundings.",4.066,"2000-09-01","Dancer in the Dark",7.9,1821,40061153,12500000,"tt0168629","You don't need eyes to see.","Nick Wolf, Bjorn Ahlander, Sean-Michael Smith, Eli Stalhand, Troels Asmussen, Eric Voge, Sheldon Litt, Diana G.L. Watson, Cara Seymour, Edvin Karsson, Birgitte Skands, Katrine Falkenberg, Allan Gyldenkærne, Ami Eklöf-Annell, Anna Rosenberg, Fredrik Börgesson, Mette Berggreen, Bo Westerholm, Al Agami, Alexander Arli, Lars Michael Dinesen, Vladica Kostic, Zeljko Ivanek, Annette Lindholm, Jean-Marc Barr, Andrew Lucre, Joel Grey, David Morse, Noah Lazarus, Anders Tärneberg, Anthony Ajoise Olufemi Jacob, Elin Johansson, Britt Bendixen, Alex Mouro, Erik Dammann, Reathel Bean, T.J. Rizzo, Stellan Skarsgård, Bobo Eriksson, Ana Christine Broström, Karoliina Heiskanen, Claus Berenhard, Anna Norberg, Carol Linda Nielsen, John Martinus, Jens Albinus, Timm Zimmermann, Carl Johan De Neergaard, Ed Hickok, Ann Crosset, Vincent Paterson, Frederik Mondrup, John Randolph Jones, Emilie Bendz, Anders Thorhauge, Peter Stormare, Cristian Valle, Erik Drugge, Udo Kier, Anna David, Catherine Deneuve, Caroline Sascha Cogez, Paprika Steen, Björk, Anders-Peter Torsleff Hansen, Marianne Bengtsson, Luke Reilly, Siobhan Fallon Hogan, Michael Flessas","Lars von Trier",7.9,119970,"Zentropa Entertainments, DR, SVT Drama, ARTE, France 3 Cinéma, Blind Spot Pictures, Liberator Productions, Íslenska kvikmyndasamsteypan, Pain Unlimited Filmproduktion, Trust Film Svenska, Cinematograph, What Else?, ARTE France Cinéma, Film i Väst, WDR","Denmark, Finland, France, Germany, Iceland, Netherlands, Norway, Sweden"
"18, 10749, 36",331482,"en","Little Women","Four sisters come of age in America in the aftermath of the Civil War.",5.873,"2019-12-25","Little Women",7.9,6382,216600000,4e+07,"tt3281548","Own your story","Sophia Gialloreto, Adrianne Krstansky, Lilly Englert, Rafael Silva, Tony Tucker, Lily Gavin, Sasha Frolova, Margaret Clinton Weeks, Ellen Oliver, Meghan Hornblower, Juliana Utz, Jen Nikolaisen, Liam Buckley, Timothée Chalamet, Tom Kemp, Finola Weller Baldet, Justin Genna, Bill Mootos, Haley Grove, Edgar Damatian, Rosario Guillen, Adrian Hoffman, Jayne Houdyshell, Laura Dern, Sayer Mansfield, Nicholas Deyo, Flannery Gregg, Danielle Pastuszak, Sydney Grant, Abby Quinn, Lewis D. Wheeler, Lonnie Farmer, J.M. Davis, Joanne Caidor, Jenna Pollack, Shawn Ahern, Lily Peterson, Louis Garrel, Hadley Robinson, Tracy Letts, Florence Pugh, Jonathon Acorn, Ana Cruz Kayne, Erin Rose, Eowyn Young, Taylor Jorgensen, Chris Cooper, Charlotte Kinder, Emma Watson, Harper Pilat, David J. Curtis, Eliza Scanlen, Mathew Steele, J. Michael Winward, Dash Barber, Alexander Jimenez, Emily Edström, Stephen Ursprung, Meryl Streep, Jen Passios, Daniel Shea, Preston Martin, Jared Reinfeldt, Lucy Austin, Natalie Kurzava, Tyler Catanella, Mason Alban, Elizabeth Dunn, Maryann Plunkett, Lizzie Short, Bob Odenkirk, Amber Rothberg, James Norton, Saoirse Ronan, Anthony Estrella, Edward Fletcher","Greta Gerwig",7.8,264372,"Columbia Pictures, Regency Enterprises, Pascal Pictures","United States of America"
"16, 35, 18",24238,"en","Mary and Max","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",3.939,"2009-04-09","Mary and Max",7.9,2033,1740429,8240000,"tt0978762","Sometimes perfect strangers make the best friends.","Christopher Massey, Renée Geyer, Stephen Carroll, Oliver Marks, Hamish Hughes, Bernie Clifford, Athanasios Kourtidis, Julie Forsyth, Shaun Patten, Ian 'Molly' Meldrum, Patrick McCabe, Yorgos Kourtidis, Henry Karjalainen, Antoinette Halloran, Marlee Bevan, Leanne Smith, Eric Bana, Barry Humphries, Bethany Whitmore, Bill Murphy, Daniel Marks, Melanie Coombs, Toni Collette, Dan Doherty, Adam Elliot, Mandy Mao, Carolyn Shakespeare-Allen, Alf Klimek, Philip Seymour Hoffman, John Flaus, Daisy Kocher, Michael J. Allen, Chris Wallace","Adam Elliot",8.1,194743,"Melodrama Pictures, Icon Productions","Australia"
"35, 18",381341,"it","Perfetti sconosciuti","During a dinner, a group of friends decide to share whatever message or phone call they will receive during the evening, with unforeseen consequences.",3.894,"2016-02-11","Perfect Strangers",7.9,4425,32207491,0,"tt4901306","Everyone has three lives: A public life. A private life... and a secret life.","Valerio Mastandrea, Giuseppe Battiston, Benedetta Porcaroli, Marco Giallini, Tommaso Tatafiore, Elisabetta De Palo, Alba Rohrwacher, Kasia Smutniak, Noemi Pagotto, Edoardo Leo, Anna Foglietta","Paolo Genovese",7.7,74173,"Medusa Film, Mediaset Premium, MiC, Lotus Production, Leone Film Group","Italy"
"18",23160,"hu","Werckmeister harmóniák","A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.",3.534,"2001-02-01","Werckmeister Harmonies",7.9,330,64974,0,"tt0249241","A total eclipse has come upon us.","Barna Mihók, Gyuri Dósa Kiss, Kati Lázár, Lars Rudolph, Alfréd Járai, András Fekete, Béla Máriáss, Putyi Horváth, Lajos Dobák, Enikő Börcsök, Éva Almássy Albert, Irén Szajki, György Barkó, Sandor Bese, József Ropog, Mihály Kormos, Viktor Lois, Hanna Schygulla, László feLugossy, János Derzsi, Péter Dobai, Mátyás Dráfi, Peter Fitz, Józsi Mihályfi, Gyula Pauer","Béla Tarr",8,16806,"Magyar Mozgókép Alapítvány, 13 Productions, ARTE, Fondazione Montecinemaverita, Goëss Film, Magyar Televízió Müvelödési Föszerkesztöség (MTV) (I), Nemzeti Kultúrális Alapprogram, Országos Rádió és Televízió Testület (ORTT), Studio Babelsberg, Von Vietinghoff Filmproduktion (VVF), ZDF, RAI, Eurimages","France, Germany, Hungary, Italy"
"18, 80",1607,"en","A Bronx Tale","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",9.856,"1993-10-01","A Bronx Tale",7.865,2553,17287898,2.2e+07,"tt0106489","One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the life of his son.","Alfred Sauchelli, Jr., Eddie Montanaro, Ralph Napolitano, Kathrine Narducci, Lillo Brancato, Fred Fischer, Domenick Lombardozzi, Nina von Arx, Sobe Bailey, Robert D'Andrea, Joseph D'Onofrio, Joe Pesci, Patrick Borriello, Louis Vanaria, Frank Pietrangolare, Robert De Niro, Clem Caserta, A.J. Ekoku, Derrick Simmons, Francis Capra, Dominick Rocchio, Steve Kendall, Richard DeDomenico, Phil Foglia, Dave Salerno, Paul Perri, Nicky Blair, Taral Hicks, Chazz Palminteri, Mitch Kolpan, David Batiste, Max Genovino, Gianna Ranaudo, Luigi D'Angelo","Robert De Niro",7.8,170526,"Price Entertainment, Penta Entertainment, Tribeca Productions","United States of America"
"35, 10749",31411,"en","The Cameraman","A photographer takes up newsreel shooting to impress a secretary.",3.538,"1928-09-10","The Cameraman",7.863,382,0,0,"tt0018742","You'll laugh yourself completely out of focus!","Harry Gribbon, Marceline Day, Sidney Bracey, Louise Keaton, Harry Keaton, Richard Alexander, Edward Brophy, Buster Keaton, Ray Cooke, Vernon Dent, Bert Moorhouse, William Irving, Harold Goodwin","Edward Sedgwick, Buster Keaton",8,13736,"Metro-Goldwyn-Mayer","United States of America"
"18, 80, 36",522212,"en","Just Mercy","The powerful true story of Harvard-educated lawyer Bryan Stevenson, who goes to Alabama to defend the disenfranchised and wrongly condemned — including Walter McMillian, a man sentenced to death despite evidence proving his innocence. Bryan fights tirelessly for Walter with the system stacked against them.",3.707,"2019-12-25","Just Mercy",7.862,2301,50401502,2.5e+07,"tt4916630","Every generation has its hero. Meet ours.","Tim Ware, Hayes Mercure, Leydi Morales, Tim Blake Nelson, Karan Kendrick, McDaniel Austin, Steve Coulter, Al Mitchell, Michael Harding, Ron Clinton Smith, Ryan Dinning, Adam Boyer, Brandon Armstrong, Tim Hooper, Rafe Spall, Benjamin Weaver, David Garlock, Drew Starkey, Sebastian Eugene Hansen, Harvey B. Jackson, Robert Caston, John Lacy, Denitra Isler, Kirk Bovill, Jacinte Blankenship, Scarlet Olivia Dunbar, Elizabeth Becka, Pete Burris, Robert Tinsley, Lindsay Ayliffe, Charlie Pye Jr., Talmedge Hayes, Ryan Girard, Terence Rosemore, Mary Kraft, Darryl W. Handy, Christine Hameed, Darrell Britt-Gibson, Charmin Lee, Deadra Moore, Ted Huckabee, O'Shea Jackson Jr., Olivia De Paux, Rob Morgan, Michael B. Jordan, J. Alphonse Nicholson, Brie Larson, Andrene Ward-Hammond, Greta Glenn, Ben Peck, Jay DeVon Johnson, Tonea Stewart, Tony Bradley, Norm Lewis, Claire Bronson, Susie Spear Purcell, Brad Sanders, Tatom Pender, Alex Van, Jay D. Kacho, C.J. LeBlanc, Drew Scheid, Kuntrell Jackson, Carl Palmer, Desmond Phillips, Josh Royston, Mallory Hoff, Jamie Foxx, Kelly Mumme, Dominic Bogart, Albert L. Taylor, Rhoda Griffis, Christopher Wolfe","Destin Daniel Cretton",7.6,79569,"Netter Productions, Outlier Society, Endeavor Content, MACRO, One Community, Participant, Warner Bros. Pictures","United States of America"
"16, 14",32085,"en","Vincent","Young Vincent Malloy dreams of being just like Vincent Price and loses himself in macabre daydreams that annoy his mother.",3.786,"1982-10-01","Vincent",7.862,861,0,60000,"tt0084868","","Vincent Price","Tim Burton",8.2,24893,"Walt Disney Productions","United States of America"
"35, 18",3083,"en","Mr. Smith Goes to Washington","After the death of a United States Senator, idealistic Jefferson Smith is appointed as his replacement in Washington. Soon, the naive and earnest new senator has to battle political corruption.",3.552,"1939-10-19","Mr. Smith Goes to Washington",7.9,1071,9600000,1500000,"tt0031679","Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!","Billy Lechner, George McKay, Nick Copeland, Walter Sande, Louis Jean Heydt, Count Stefenelli, Alex Novinsky, Joe Palma, Edward Arnold, Harry Stafford, Sam Ash, Robert Middlemass, Charles Lane, Joe King, Henry Roquemore, Georgia Caine, Margaret Mann, Dora Clement, Matt McHugh, Joe Devlin, John Tyrrell, Douglas Evans, Dulcie Day, Lew Davis, Georgie Cooper, Lester Dorr, Jack Egan, Harry Burkhardt, Mary Gordon, Gladys Gale, Jackie Lowe, Wally Dean, Wade Boteler, Tommy Bupp, Dorothy Comingore, Tom Quinn, Stanley Andrews, Eleanor Wood, Frank M. Thomas, Charles Sullivan, Astrid Allwyn, Harry C. Bradley, Bobby Larson, Ben Taggart, Larry Steers, Delmar Watson, Frank McLure, Lorna Gray, Eddie Kane, Robert Morgan, Wyndham Standing, Olaf Hytten, Eric Mayne, Fred 'Snowflake' Toones, H.V. Kaltenborn, Alec Craig, Dick Jensen, Field Norton, Max Waizmann, Beulah Bondi, Ruth Donnelly, Eddie Coke, Grant Mitchell, Milton Kibbee, Maurice Cass, Arthur Loft, Al Bridge, Landers Stevens, Claude Rains, Harry A. Bailey, Clyde Dilson, Ed Randolph, Frances Gifford, Arthur Thalasso, Billy Wayne, Richard Clucas, Brooks Benedict, Burr Caruth, Victor Travis, Thomas Mitchell, Carl Stockdale, Blanche Payson, Roger Haliday, John Russell, Edward Earle, Donald Kerr, John Ward, Frank Austin, Ralph McCullough, Porter Hall, James McNamara, Wright Kramer, William Newell, Chester Conklin, Sammy McKim, David Wade, Beatrice Curtis, Lloyd Ingraham, Wilson Benge, Kathryn Bates, Emma Tansey, Mary MacLaren, Ann Doran, Spencer Quinn, Jimmie Lucas, Walter Soderling, Philip Hurlic, William Arnold, Dickie Jones, Allan Cavan, Dave Willock, Harry Carey, Erville Alderson, Jean Arthur, Bob Walker, George Cooper, Ferris Taylor, Henry Hebert, George Chandler, Jack Gardner, Stanley Mack, Guy Kibbee, Jesse Graves, Craig Stevens, Wilfred Lucas, Colin James Mackey, Edwin August, Jack Cooper, John Ince, Jack Lindquist, Gene Morgan, Robert Sterling, P.H. Levy, William Worthington, Edward Biby, James Stewart, Eddie Fetherston, Shirley Coates, Mitchell Ingraham, George Lloyd, Philo McCullough, Davison Clark, Russell Simpson, Lynton Brent, Ed Brewer, Garry Watson, Vernon Dent, Robert Dudley, Frederick Vroom, Frank O'Connor, James Millican, Harlan Briggs, Jack Carson, Frederick Burton, John Dilson, Helen Jerome Eddy, Harry Watson, Johnny Russell, Paul Kruger, Eddy Chandler, Bess Wade, Anne Cornwall, Billy Watson, Pierre Watkin, Hal Cooke, Harry Depp, Frank Puglia, Myonne Walsh, Jane Loofbourrow, Wilfred Hari, Maurice Costello, John Lester Johnson, Ray Nichols, Vera Lewis, Edmund Cobb, Tommy Baker, Jack Richardson, Edward Thomas, Laura Treadwell, Florence Wix, Byron Foulger, Layne Tom Jr., Paul Stanton, Frank Otto, Charles R. Moore, Gino Corrado, Lloyd Whitlock, William Demarest, Neal Dodd, Dick Elliott, Dub Taylor, Harry Hayden, Harry Strang, Jack Rice, Evalyn Knapp, Lafe McKee, Bert Moorhouse, Gus Glassmire, Harry Tenbrook, Frank Jaquet, Fred Hoose, Mabel Forrest, Eugene Pallette, Richard Kipling, Ken Carpenter, Hank Mann, H.B. Warner, Robert Emmett Keane, June Gittelson, Charles Regan, Howard M. Mitchell, Larry Simms, Jack Low","Frank Capra",8.1,125142,"Columbia Pictures","United States of America"
"18, 36, 80",714888,"es","Argentina 1985","In the 1980s, a team of lawyers takes on the heads of Argentina's bloody military dictatorship in a battle against odds and a race against time.",3.601,"2022-09-29","Argentina 1985",7.86,648,58424000,2e+07,"tt15301048","","Pablo Moseinco, Julian Levi, Carlos Ihler, Walter Jakob, Stephanie Petresky, Aldo Onofri, Juan Cruz Márquez de la Serna, Sergio Ciancaglini, Gastón Chamorro, Gabriel Fernández, Manuel Caponi, Nacho Miguens, Fernando Contigiani García, María Colloca, Andrés Zurita, Agustín Rittano, Fabián Abecasis, Alejo Goyberg, Toto Rovito, Anahí Martella, Javier Kussrow, Roberto Mauri, Bárbara Massó, Facundo Aquinos, Carlos Ledrag, Ana Carolina García, Sol Braier, Santiago Armas Estevarena, Martin Gallo, Marcelo Pozzi, Jorge Gregorio, César Córdoba, Laura Paredes, Almudena González, Luis Lezcano, Gina Mastronicola, Adrián Mampel, Augusto Ghirardelli, Fernando Gonet, Silvina Scarpolini, Ricardo Tuppel, Ricardo Cepeda, Joselo Bella, Félix Santamaría, Jorge Varas, Natalia Olabe, Sofía Lanaro, Judith König, Marcelo López, Héctor González, Emilia Mayo, José Luis Arias, Guido D'Albo, Fito Yanelli, Francisco Bertín, Rosana Vezzoni, Enrique Bogado, Felipe Villanueva, Carlota Rodríguez Echebarne, Mariano Speratti, Adolfo Norberto Losada, Marcela Acosta, Antonia Bengoechea, Brian Sichel, Natalia Santiago, Norman Briski, Matías Broglia, Agustín Gagliardi, Ricardo Truppel, Carlos Portaluppi, Justina Ovejero, Ricardo Darín, Rodrigo Rocco, Gustavo Vieyra, Peter Lanzani, Ricardo Carranza, Héctor Díaz, Lalo Rotaveria, Carlos Del Río, Martín Portela, Edward Green, Sergio Sánchez, Alejo Garcia Pintos, Héctor Balcone, Pietro Gian, Pablo Burzstyn, Guillermo Jacubowicz , Claudio Da Passano, Andrea Varchavsky, Fiona Mastronicola, Alejandra Flechner, Francisco Guglielmino, Jorge Luis Couto, Ignacio Francavilla, Paula Ransenberg, Ruben Casela, David Alegre, Débora Nacarate, Susana Pampín, Fernando Ritucci, Leyla Bechara, María Laura Cali, Patricio Gonzalo, Jorge Gerschman, Pablo Caramelo","Santiago Mitre",7.6,33600,"La Unión de los Ríos, Kenya Films, Infinity Hill, Wanka Cine, Infinity Hill","Argentina, United Kingdom"
"16, 35, 10751, 9648",45752,"en","Scooby-Doo! Camp Scare","Scooby and the gang experience outdoor fun as they go back to Fred's old summer camp. As summer goes on, it becomes increasingly clear that the spooky camp stories told by the fireplace, are more real than they've though and soon, it's up to the gang to try and solve the mystery of camp scare.",3.808,"2010-09-14","Scooby-Doo! Camp Scare",7.9,307,0,0,"tt1731767","Back-to-nature chills and thrills!","Mark Hamill, Stephen Root, Lauren Tom, Grey DeLisle, Tara Strong, Frank Welker, Matthew Lillard, Scott Menville, Phil LaMarr, Mindy Cohn, Dee Bradley Baker","Ethan Spaulding",7.2,4978,"Warner Bros. Animation","United States of America"
"18",1162,"en","The Miracle Worker","The true story of the frightening, lonely world of silence and darkness of 7-year-old Helen Keller who, since infancy, has never seen the sky, heard her mother's voice or expressed her innermost feelings. Then Annie Sullivan, a 20-year-old teacher from Boston, arrives. Having just recently regained her own sight, the no-nonsense Annie reaches out to Helen through the power of touch, the only tool they have in common, and leads her bold pupil on a miraculous journey from fear and isolation to happiness and light.",3.551,"1962-05-23","The Miracle Worker",7.86,304,2500000,5e+05,"tt0056241","An emotional earthquake!","Inga Swenson, Alan Howard, Judith Lowry, Grant Code, Anne Bancroft, Kathleen Comegys, Michele Farr, Andrew Prine, Jack Hollander, William F. Haddock, Helen Ludlam, Beah Richards, Patty Duke, Victor Jory, John Bliss","Arthur Penn",8.1,21271,"Playfilm Productions","United States of America"
"28, 9648, 878",530254,"ko","마녀","Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.",4.441,"2018-06-27","The Witch: Part 1. The Subversion",7.858,612,24340302,5500000,"tt8574252","Everything changed after they appeared.","Kim Byeong-ok, Park Hee-soon, Choi Woo-shik, Hyun Bong-sik, Song Hyeong-su, Woo Min-kyu, Baek Seung-chul, Cho Min-soo, Chung Ye-jin, Lee Ki-young, Jeong Da-eun, Kwon Tae-won, Kim Ha-na, Kim Da-mi, Go Min-si, Oh Mi-hee, Lee Ju-won, Choi Jung-woo, Lee Si-hoon, Lee Si-woo, Yeo Moo-yeong","Park Hoon-jung",7.1,19710,"Peppermint & Company, Warner Bros. Korea, Goldmoon Film, Finecut, Huayi Tencent Entertainment, Union Investment Partners","Hong Kong, South Korea"
"18, 36, 10752",613,"de","Der Untergang","In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",3.203,"2004-09-16","Downfall",7.858,3928,92181574,1.6e+07,"tt0363163","April 1945, a nation awaits its... Downfall","Corinna Harfouch, Katerina Poladjan, Juliane Köhler, August Schmölzer, Christian Schmidt, Elizaveta Boyarskaya, Mathias Gnädinger, Thomas Kretschmann, Jurij Schrader, Bohdan Graczyk, Michael Brandner, Martin Butzke, Norbert Heckner, Justus von Dohnányi, Götz Otto, Dieter Mann, Dmitriy Bykovskiy-Romashov, Henning Peker, Konstantin Lukashov, Andrey Blagoslovenskiy, Karl Kranzkowski, Valeriy Salomakhin, Oliver Stritzel, Bettina Redlich, Anna Thalbach, Ulrich Matthes, Christian Hoening, Julia Jentsch, Rolf Kanies, Christian Redl, Michael Mendl, Alexander Held, Enno Hesse, Tanja Schleiff, Thorsten Krohn, Heino Ferch, Klaus-Jürgen Steinmann, Thomas Thieme, Igor Bubenchikov, Mariya Semyonova, Donevan Gunia, Dietrich Hollinderbäumer, Veit Stübner, Ulrike Krumbiegel, Matthias Habich, Michael Kind, Alexandra Maria Lara, Christian Berkel, Fabian Busch, Elisabeth von Koch, Birgit Minichmayr, Devid Striesow, Heinrich Schmieder, André Hennicke, Vsevolod Tsurilo, Jürgen Tonkel, Ulrich Noethen, Stefan Mehren, Dieter Rupp, Igor Sergeev, Dirk Borchardt, Thomas Limpinsel, Bruno Ganz","Oliver Hirschbiegel",8.2,386113,"NDR, ORF, ARD Degeto, EOS Entertainment, WDR, RAI, Constantin Film","Austria, Germany, Italy"
"80, 18, 53",275,"en","Fargo","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",5.048,"1996-03-08","Fargo",7.858,8240,60611975,7e+06,"tt0116282","A lot can happen in the middle of nowhere.","David S. Lomax, Bain Boehlke, José Feliciano, Harve Presnell, Cliff Rakerd, Sharon Anderson, Michelle Suzanne LeDoux, John Carroll Lynch, Peter Schmitz, Larissa Kokernot, Steve Reevis, Steve Edelman, J. Todd Anderson, John Bandemer, Steve Buscemi, Wayne A. Evenson, Robert Ozasky, Bruce Bohne, Steve Park, Peter Stormare, James Gaulke, Steven I. Schafer, Bruce Campbell, Frances McDormand, William H. Macy, Melissa Peterman, Rose Stockton, Kurt Schweickhardt, Gary Houston, Michelle Hutchison, Jessica Shepherd, Don Wescott, Petra Boden, Tony Denman, Kristin Rudrüd, Larry Brandenburg, Michelle LeDoux, Sally Wingert, Bix Skahill, Warren Keith","Joel Coen",8.1,750658,"PolyGram Filmed Entertainment, Working Title Films","United Kingdom, United States of America"
